"統計期","市立美術館參觀人次","市立動物園參觀人次","市立兒童新樂園入園人次","市立天文科學教育館參觀人次","士林官邸公園參觀人次","臺北自來水園區參觀人次","北投溫泉博物館參觀人次","台北探索館參觀人次","藍色水路載客人次"
"97年 11月",32447,283639,92334,62196,370180,41332,29823,14194,6825
"97年 12月",32226,216615,99956,49125,180000,66403,26884,17200,6347
"98年 1月",33391,355279,132351,42187,119000,36276,17910,6833,6655
"98年 2月",27818,489892,104278,34596,168000,47911,26670,11130,5465
"98年 3月",33511,327771,105639,63952,142000,45296,22081,10832,3962
"98年 4月",49280,344955,201376,60563,108000,39875,23191,15793,6602
"98年 5月",98156,380203,0,51165,114520,80484,23860,19807,7673
"98年 6月",97210,182599,0,29899,95220,89011,19008,14713,6610
"98年 7月",132589,361162,40400,95136,111490,193257,26468,16071,5401
"98年 8月",190481,311473,97460,82316,65000,145876,27383,21051,4960
"98年 9月",160332,166081,53422,37784,72605,80924,15926,21499,5008
"98年 10月",229033,249256,65222,48262,73000,70420,25571,17608,7428
"98年 11月",40700,276300,285994,51993,157020,67326,23860,13887,9251
"98年 12月",51818,228593,149477,52753,358390,83904,32161,13409,5608
"99年 1月",86665,280706,145763,38672,117000,102824,32468,11597,4169
"99年 2月",125858,305535,180540,39373,161330,54304,29744,10623,2140
"99年 3月",26428,251090,183208,48690,143000,74696,24664,17679,2620
"99年 4月",30450,251432,179111,50723,105300,91955,24820,17683,5582
"99年 5月",22289,214339,139166,43524,121170,85848,24578,19277,4271
"99年 6月",42963,164531,123504,28814,98700,98793,20254,13234,6024
"99年 7月",118426,228341,176578,72242,95000,175424,26115,19968,2755
"99年 8月",128505,247598,177781,84430,63000,165861,25839,16958,4228
"99年 9月",98279,176133,78596,61755,70500,94366,18287,9549,3583
"99年 10月",68543,215794,248966,49307,72000,81198,26217,12751,6971
"99年 11月",307343,233295,322247,51651,234010,69924,28661,17976,42192
"99年 12月",235932,239316,421912,47650,304240,83296,33375,18282,60936
"100年 1月",172874,119409,305809,27151,119500,58985,34098,14078,33206
"100年 2月",280103,384944,568644,34706,162000,68048,35307,8146,61561
"100年 3月",205924,181091,360715,58181,142000,79384,29274,15372,47142
"100年 4月",330116,295974,543408,83342,103500,79626,29684,15168,89976
"100年 5月",120243,164146,48020,54034,117670,94188,24481,15569,4832
"100年 6月",63616,152629,46064,36705,96600,119818,22106,16662,4178
"100年 7月",29827,266873,92453,97982,93200,198719,32650,20701,10429
"100年 8月",30254,221908,77609,96091,63200,141895,28964,15262,5347
"100年 9月",24600,207728,61599,59247,68000,107697,25903,13968,10210
"100年 10月",19487,271944,78486,55991,71000,83366,32719,19959,11448
"100年 11月",34687,258375,62220,66375,258000,94923,39661,18479,8649
"100年 12月",31118,185699,58345,55873,245800,107299,43024,14168,4840
"101年 1月",30209,302517,86212,34874,191000,70678,34088,8378,3178
"101年 2月",22190,209193,59424,45116,180800,72500,38693,15740,2016
"101年 3月",24057,260382,95982,48289,150000,83313,35707,20403,3243
"101年 4月",28545,297866,181961,62191,115000,85602,37188,16973,3436
"101年 5月",27449,201743,61346,59885,119000,99125,34755,15410,5337
"101年 6月",22673,177687,45082,42014,90000,114223,32983,18647,4780
"101年 7月",29423,233244,59518,74641,85000,188374,44778,26055,6637
"101年 8月",40549,233618,75583,85991,65000,129088,47214,22317,4793
"101年 9月",15371,213465,65249,61457,69000,85048,44313,12924,7007
"101年 10月",35997,333388,96206,48734,72000,75758,40964,19529,8432
"101年 11月",31220,258939,64976,61984,314310,76445,43422,18191,6088
"101年 12月",31592,245192,72258,63858,171510,78653,48988,20594,3686
"102年 1月",26514,223547,86211,37131,113000,55206,43794,12365,3214
"102年 2月",25399,443432,151020,34535,108925,69668,26273,10433,4986
"102年 3月",24616,279716,85701,46629,199510,87867,40520,25752,3339
"102年 4月",27199,220043,72463,63816,121000,80336,30264,14843,2432
"102年 5月",22572,184707,57341,50076,125000,92283,32084,16647,4474
"102年 6月",17795,198782,82590,43603,96000,161467,34153,22493,5008
